,Model,Equation_Type,Equation,Score
34,model_3_wide_range,7,(-2.511226 - (x5 * x5)) - sin(sin(x5 * -21.524742) + 0.73928386),0.019458301242217695
35,model_3_wide_range,1,x2 + -76.74557,0.016651168444396694
36,model_1_noisy_std_dev_2,best,x5*x5*(-0.99852943) - 2.8224525,3.074410625117002
37,model_1_noisy_std_dev_2,2,x5 * (x5 * -1.0195066),3.074410625117002
38,model_1_noisy_std_dev_2,3,(x5 * (x5 * -0.99852943)) + -2.8224525,0.2483998901277304
39,model_1_noisy_std_dev_2,7,((sin(exp(x5 + -2.0672276)) + (x5 * x5)) + 2.881923) * -0.9974481,0.036203310910102066
40,model_2_noisy_std_dev_2,best,-x5*x5 - 2.7146323,3.321948083118081
41,model_2_noisy_std_dev_2,2,-2.7146323 - (x5 * x5),3.321948083118081
42,model_2_noisy_std_dev_2,5,(sin(x0 * 1.4518161) - (x5 * x5)) - 2.7658126,0.07291392486979331
43,model_2_noisy_std_dev_2,10,(cos((0.8994098 - cos(((x0 + x1) + x1) + -1.6386757)) * -1.8172939) - ((x5 * x5) + 2.173646)) - 0.5182656,0.05437896816626938
44,model_3_noisy_std_dev_2,best,-x5*x5 - 2.7146323,3.321948036988888
45,model_3_noisy_std_dev_2,2,-2.7146323 - (x5 * x5),3.321948036988888
46,model_3_noisy_std_dev_2,6,((x5 * x5) * -0.99824184) - (sin(x5 * 6.66415) + 2.9024115),0.03611528355646535
47,model_3_noisy_std_dev_2,7,(((x5 * x5) * -0.9976149) - 2.9991846) + sin(exp(x5 * 0.93113196)),0.028596448319078382
48,model_1_noisy_std_dev_5,best,x5*(-1.0226563)*x5,2.5148301986196158
49,model_1_noisy_std_dev_5,2,(x5 * -1.0226563) * x5,2.5148301986196158
50,model_1_noisy_std_dev_5,3,((x5 * x5) * -1.0037116) + -2.5485175,0.054270064453231945
51,model_1_noisy_std_dev_5,11,sin(x4 * x5) + (((x0 * 0.093151584) + -2.4782333) + (x5 * (x5 * -1.003336))),0.019837152927335882
52,model_2_noisy_std_dev_5,best,-x5*x5 - 2.8206582,2.5679034402220244
53,model_2_noisy_std_dev_5,2,-2.8206582 - (x5 * x5),2.5679034402220244
54,model_2_noisy_std_dev_5,5,"-1.3804003 - ((x5 * x5) + safe_pow(0.91706187, x0))",0.020870147712900345
55,model_2_noisy_std_dev_5,16,((((x5 + 2.0552676) * (2.0237021 - x5)) + sin(x5 * x4)) + sin(((x0 + -2.4739645) * 17.355097) + (x5 * 0.33420867))) + -6.9518814,0.020619900015565514
56,model_3_noisy_std_dev_5,best,-x5*x5 - 2.820656,2.5679034060844566
57,model_3_noisy_std_dev_5,2,-2.820656 - (x5 * x5),2.5679034060844566
58,model_3_noisy_std_dev_5,1,x2 - 76.58875,0.017257385107931143
59,model_3_noisy_std_dev_5,4,(x0 * 0.10113394) - ((x5 * x5) + 2.7325895),0.015413017620407813
60,model_1f,best,x5*x5*(-0.9719317) + sympy_p(sympy_p(cos(x0*0.34489843))) - 5.610484,1.314799328321828
61,model_1f,3,(x5 * x5) * -1.2424467,1.314799328321828
62,model_1f,4,(x5 * (x5 * -0.98038584)) + -3.9175878,0.30002565080742194
63,model_1f,10,((x5 * x5) * -0.9719317) + (p(p(cos(x0 * 0.34489843))) + -5.610484),0.21253841590565908
64,model_2f,best,x0*x0*(-0.37088263) - x5*x5,1.6283174946742023
65,model_2f,3,-3.7577968 - (x5 * x5),1.6283174946742023
66,model_2f,6,((x0 * x0) * -0.37088263) - (x5 * x5),0.7134995375762494
67,model_2f,5,(x0 - p(x0)) - (x5 * x5),0.41955244764544886
68,model_3f,best,-0.3236481*x0*x0 - x5*x5 - 0.73067176,1.6283174946742023
69,model_3f,3,-3.7579765 - (x5 * x5),1.6283174946742023
70,model_3f,7,(-0.73067176 - (x5 * x5)) - ((x0 * x0) * 0.3236481),0.47889235618625
71,model_3f,5,(x0 - (x5 * x5)) - p(x0),0.41955244764544886
72,model_1f_noisy,best,(x5*x5*(-0.45215756) + cos(x0*0.6027875) - 1.7497363)*2.1622398,1.3218097501287265
73,model_1f_noisy,3,(x5 * -1.2372673) * x5,1.3218097501287265
74,model_1f_noisy,4,((x5 * x5) + 3.9503582) * -0.9786689,0.29315073885538784
75,model_1f_noisy,9,((x5 * (x5 * -0.45215756)) + (cos(x0 * 0.6027875) + -1.7497363)) * 2.1622398,0.2280798276529962
76,model_2f_noisy,best,-(x0*x0*0.32014713 + x5*x5) - 0.69793606,1.6155581329269388
77,model_2f_noisy,3,-3.6923122 - (x5 * x5),1.6155581329269388
78,model_2f_noisy,7,-0.69793606 - ((x5 * x5) + ((x0 * x0) * 0.32014713)),0.7498096519990741
79,model_2f_noisy,2,-9.454115 - p(x5),0.3500481757589145
80,model_3f_noisy,best,x0 - (x5*x5 - 1*(-0.97957855)) - sympy_p(x0*1.0708553),1.6155581329269388
81,model_3f_noisy,3,-3.6923122 - (x5 * x5),1.6155581329269388
82,model_3f_noisy,5,(x0 - p(x0)) - (x5 * x5),0.42477503064843075
83,model_3f_noisy,2,-9.453041 - p(x5),0.3500481757589145
84,model_1f_wide_range,best,(x5*x5 + 185.54434)*(cos(x0*0.037244465) - 1.9344844) + 162.78224,2.461164256850287
85,model_1f_wide_range,3,x5 * (x5 * -1.1564775),2.461164256850287
86,model_1f_wide_range,10,((cos(x0 * 0.037244465) + -1.9344844) * ((x5 * x5) + 185.54434)) + 162.78224,1.237054416721178
87,model_1f_wide_range,8,((x5 * x5) + 21.867205) * (cos(x0 * -0.053238675) + -1.8729187),1.0551613190630442
88,model_2f_wide_range,best,x0*4.162522 - (x5*x5 + sympy_p(x0)) - sympy_p(x0 + 6.504262) + 15.086409,2.918947602250603
89,model_2f_wide_range,3,-20.706505 - (x5 * x5),2.918947602250603
90,model_2f_wide_range,8,((x0 * 2.8865676) - ((x5 * x5) + p(x0))) - p(x0),0.8427469921133834
91,model_2f_wide_range,10,(((x0 * 4.162522) + 15.086409) - p(x0 + 6.504262)) - (p(x0) + (x5 * x5)),0.5479722347640099
92,model_3f_wide_range,best,x0 + (-x0 + x5*x5)*(-1.0368098) - sympy_p(x0 + 3.3880653),2.9189474940811366
93,model_3f_wide_range,3,-20.706514 - (x5 * x5),2.9189474940811366
94,model_3f_wide_range,6,((x0 + -9.847924) - (x5 * x5)) - p(x0),0.43588663459665716
95,model_3f_wide_range,2,-83.17635 - p(x5),0.21485838370939275
96,model_1f_noisy_std_dev_2,best,(x0*x0*0.21902357 + x5*x5)*(-1.0104096),2.6866965473328963
97,model_1f_noisy_std_dev_2,7,(((x0 * x0) * 0.21902357) + (x5 * x5)) * -1.0104096,2.6866965473328963
98,model_1f_noisy_std_dev_2,3,(x5 * x5) * -1.1541644,2.468405949130693
99,model_1f_noisy_std_dev_2,4,((x5 * x5) * -1.0048859) + -20.086441,0.3257195182003782
100,model_2f_noisy_std_dev_2,best,x0*x0*(-0.20302102) + x5*(-0.9941853)*x5 - 1*3.781187,2.9145071181481783
101,model_2f_noisy_std_dev_2,3,-20.444271 - (x5 * x5),2.9145071181481783
102,model_2f_noisy_std_dev_2,8,(x5 * (x5 * -1.0104067)) + (x0 * (x0 * -0.22131279)),2.6640483918743807
103,model_2f_noisy_std_dev_2,2,-82.92227 - p(x5),0.21601589938730675
104,model_3f_noisy_std_dev_2,best,x0*2.6533859 - (x5*x5 + sympy_p(-(-0.5727765)*x0 + x0)),2.9145071181481783
105,model_3f_noisy_std_dev_2,3,-20.444695 - (x5 * x5),2.9145071181481783
106,model_3f_noisy_std_dev_2,8,(x0 * 2.6533859) - ((x5 * x5) + p(x0 - (x0 * -0.5727765))),0.6783872686289494
107,model_3f_noisy_std_dev_2,6,x0 - ((p(x0) + (x5 * x5)) - -9.58604),0.4115275594153292
108,model_1f_noisy_std_dev_5,best,(x0 + x5*(-0.36668792)*x5 + sympy_p(x0)*(-0.67126554))*2.736214,2.4061225643437854
109,model_1f_noisy_std_dev_5,3,x5 * (x5 * -1.1573304),2.4061225643437854
110,model_1f_noisy_std_dev_5,9,(((x5 * -0.36668792) * x5) + (x0 + (p(x0) * -0.67126554))) * 2.736214,0.694243799096363
111,model_1f_noisy_std_dev_5,8,((p(x0) * -1.1022161) + ((x5 * x5) * -1.0710205)) + x0,0.5406029787589341
112,model_2f_noisy_std_dev_5,best,x0*x0*(-0.23090877) - x5*x5,1.9226659945805122
113,model_2f_noisy_std_dev_5,5,(x0 * (x0 * -0.23090877)) - (x5 * x5),1.9226659945805122
114,model_2f_noisy_std_dev_5,2,-20.550652 - (x5 * x5),1.488881806195224
115,model_2f_noisy_std_dev_5,8,((x0 * x0) * ((x0 * (x0 * 0.0005484711)) + -0.32046738)) - (x5 * x5),0.07155811968164964
116,model_3f_noisy_std_dev_5,best,-(x5**2.0 + sympy_p(0.43596444 - x0)) - sympy_p(x0) + 2.6563637,2.763810913152405
117,model_3f_noisy_std_dev_5,3,-20.550634 - (x5 * x5),2.763810913152405
118,model_3f_noisy_std_dev_5,8,"(2.6563637 - p(x0)) - (p(0.43596444 - x0) + safe_pow(x5, 2.0))",0.7571887773883327
119,model_3f_noisy_std_dev_5,7,"((x0 - p(x0)) - safe_pow(x5, 2.0)) - safe_pow(0.7766038, x0)",0.32470755661802336
